crop,stage,das_start,das_end,sensitive_water,sensitive_heat,sensitive_pest,input_window
paddy,nursery,0,21,high,medium,high,true
paddy,transplant_establish,22,35,critical,medium,medium,true
paddy,tillering,36,55,high,low,high,true
paddy,flowering,56,75,critical,critical,medium,false
paddy,grain_fill,76,100,high,critical,low,false
paddy,maturity,101,120,low,low,low,false
maize,vegetative,0,35,medium,medium,high,true
maize,tasseling,36,60,critical,critical,medium,true
maize,grain_fill,61,95,high,high,low,false
maize,maturity,96,120,low,low,low,false
wheat,germination,0,20,high,low,low,true
wheat,tillering,21,45,high,low,medium,true
wheat,jointing,46,65,high,medium,medium,true
wheat,flowering,66,85,critical,critical,medium,false
wheat,grain_fill,86,110,high,high,low,false
wheat,maturity,111,135,low,low,low,false
tomato,seedling,0,25,high,medium,high,true
tomato,vegetative,26,45,medium,medium,high,true
tomato,flowering,46,65,critical,critical,high,false
tomato,fruiting,66,90,high,high,medium,false
tomato,harvest,91,120,low,medium,low,false
